species_id,species,superclass,class,order,family,subfamily,genus,epithet,author,common_name_br,category_iucn,endemic_br
fis_4128,Hypostomus heraldoi,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Hypostominae,Hypostomus,heraldoi,"Zawadzki, Weber & Pavanelli, 2008",NA,0,native
fis_4129,Hypostomus faveolus,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Hypostominae,Hypostomus,faveolus,"Zawadzki, Birindelli & Lima, 2008",NA,0,native
fis_4130,Hemiancistrus cerrado,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Hypostominae,Hemiancistrus,cerrado,"de Souza, Melo, Chamon & Armbruster, 2008",NA,0,native
fis_4131,Gladioglanis anacanthus,Osteichthyes,Teleostei,Siluriformes,Heptapteridae,NA,Gladioglanis,anacanthus,"Rocha, de Oliveira & Rapp Py-Daniel, 2008",NA,0,native
fis_4132,Megalonema amaxanthum,Osteichthyes,Teleostei,Siluriformes,Pimelodidae,NA,Megalonema,amaxanthum,"Lundberg & Dahdul, 2008",NA,0,native
fis_4133,Pimelodus stewarti,Osteichthyes,Teleostei,Siluriformes,Pimelodidae,NA,Pimelodus,stewarti,"Ribeiro, Lucena & Lucinda, 2008",NA,0,native
fis_4134,Pimelodus halisodous,Osteichthyes,Teleostei,Siluriformes,Pimelodidae,NA,Pimelodus,halisodous,"Ribeiro, Lucena & Lucinda, 2008",NA,0,native
fis_4135,Pimelodus joannis,Osteichthyes,Teleostei,Siluriformes,Pimelodidae,NA,Pimelodus,joannis,"Ribeiro, Lucena & Lucinda, 2008",NA,0,native
fis_4136,Tatia caxiuanensis,Osteichthyes,Teleostei,Siluriformes,Auchenipteridae,Centromochlinae,Tatia,caxiuanensis,"Sarmento-Soares & Martins-Pinheiro, 2008",NA,0,native
fis_4137,Tatia nigra,Osteichthyes,Teleostei,Siluriformes,Auchenipteridae,Centromochlinae,Tatia,nigra,"Sarmento-Soares & Martins-Pinheiro, 2008",NA,0,native
fis_4138,Platydoras brachylecis,Osteichthyes,Teleostei,Siluriformes,Doradidae,Doradinae,Platydoras,brachylecis,"Piorski, Garavello, Arce H. & Sabaj Pérez, 2008",Corro | Grangiola | Graviola,0,native
fis_4139,Astyanax epiagos,Osteichthyes,Teleostei,Characiformes,Characidae,Stethaprioninae,Astyanax,epiagos,"Zanata & Camelier, 2008",NA,0,native
fis_4140,Astyanax jacobinae,Osteichthyes,Teleostei,Characiformes,Characidae,Stethaprioninae,Astyanax,jacobinae,"Zanata & Camelier, 2008",Piaba,0,native
fis_4141,Leptodoras oyakawai,Osteichthyes,Teleostei,Siluriformes,Doradidae,Doradinae,Leptodoras,oyakawai,"Birindelli, Sousa & Sabaj Pérez, 2008",NA,0,native
fis_4142,Anablepsoides amanan,Osteichthyes,Teleostei,Cyprinodontiformes,Rivulidae,Rivulinae,Anablepsoides,amanan,"(Costa & Lazzarotto, 2008)",NA,0,native
fis_4143,Atlantirivulus jurubatibensis,Osteichthyes,Teleostei,Cyprinodontiformes,Rivulidae,Rivulinae,Atlantirivulus,jurubatibensis,"(Costa, 2008)",NA,0,native
fis_4144,Hypsolebias longignatus,Osteichthyes,Teleostei,Cyprinodontiformes,Rivulidae,Cynolebiinae,Hypsolebias,longignatus,"(Costa, 2008)",NA,0,native
fis_4145,Ammoglanis amapaensis,Osteichthyes,Teleostei,Siluriformes,Trichomycteridae,Sarcoglanidinae,Ammoglanis,amapaensis,"Mattos, Costa & Gama, 2008",NA,0,native
fis_4146,Rineloricaria isaaci,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Loricariinae,Rineloricaria,isaaci,"Rodriguez & Miquelarena, 2008",NA,0,native
fis_4147,Pamphorichthys pertapeh,Osteichthyes,Teleostei,Cyprinodontiformes,Poeciliidae,Poeciliinae,Pamphorichthys,pertapeh,"Figueiredo, 2008",NA,0,native
